artist_name,artist_id,deezer_fans,deezer_rank,picture_url,deezer_link,top_track_name,top_track_rank,top_track_duration,genero
KAROL G,5297021,3411931,792140,https://cdn-images.dzcdn.net/images/artist/5b0aab23f8d2856951a92f3a9faf70e3/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/5297021,BbY WOW,974722,225,urbano
Legião Urbana,15810,2906324,0,https://cdn-images.dzcdn.net/images/artist/27331b5535cf5a8fd0cece324c201a18/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/15810,Tempo Perdido,830031,300,urbano
Marc Anthony,112,2605581,0,https://cdn-images.dzcdn.net/images/artist/fc838a70027abfd9b9d0f8906f2a1421/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/112,Volver,569324,232,salsa
Myke Towers,12029862,1706028,637902,https://cdn-images.dzcdn.net/images/artist/d3a7418b4e44bf8ee3ae268067a86f09/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/12029862,CARITA FELIZ,698888,193,urbano
Bizarrap,12487862,1124758,620849,https://cdn-images.dzcdn.net/images/artist/e121c1ef9b1135e6a5b71c1e65ab10b4/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/12487862,"Quevedo: Bzrp Music Sessions, Vol. 52/66",796653,198,urbano
Feid,1166311,905477,676992,https://cdn-images.dzcdn.net/images/artist/e629c93e03b3c225d8d52a42bae71537/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1166311,PARADIXE,648293,342,urbano
Peso Pluma,80365122,507440,660421,https://cdn-images.dzcdn.net/images/artist/dde2bf89c1e8da0aeb94436681bc3aac/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/80365122,LADY GAGA,637534,212,urbano
Keith Urban,3249,399163,0,https://cdn-images.dzcdn.net/images/artist/217da9e726481044a9b3209bcd17a2c2/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/3249,One Too Many,495899,204,urbano
Ryan Castro,11815065,310232,651442,https://cdn-images.dzcdn.net/images/artist/85e4705e8cab0354605581abd89c703d/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/11815065,CHÉVERE (premium_remix),684452,219,urbano
Quevedo,6705223,301973,678376,https://cdn-images.dzcdn.net/images/artist/79880cc1b999b15567e332203464c34e/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/6705223,YO y TÚ,754646,198,urbano
Mora,3922661,243196,540199,https://cdn-images.dzcdn.net/images/artist/f44bb8e98463bc41d195c63c43768701/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/3922661,LA INOCENTE,618993,202,urbano
Sub Urban,7815200,239315,0,https://cdn-images.dzcdn.net/images/artist/7b49d4759a476dea7e868488c0a478ce/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/7815200,Cradles,743940,209,urbano
Papatinho,4688569,234158,0,https://cdn-images.dzcdn.net/images/artist/92575d2dde7dd68462cbf056a532d72d/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/4688569,Improvável,546608,236,pop latino
Electric Callboy,163128877,155104,0,https://cdn-images.dzcdn.net/images/artist/c043f010f24c5c9c2c4fabd49f2e9479/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/163128877,RATATATA,700120,216,electrónica
TrapLaudo,88974232,144475,0,https://cdn-images.dzcdn.net/images/artist/1df880ed152217f945b54189ef571ab4/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/88974232,Diz Aí Qual é o Plano?,658978,703,trap latino
Reggaeton Total,323664,143232,0,https://cdn-images.dzcdn.net/images/artist/e8441e034ac0bfd139145d536e3d5b22/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/323664,Locura Automática,171689,246,reggaeton
Young Miko,139171932,136510,618781,https://cdn-images.dzcdn.net/images/artist/5912325ca89e72e925de22d05001ed4a/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/139171932,CLASSY 101,686981,195,urbano
Hindi Zahra,298133,128341,0,https://cdn-images.dzcdn.net/images/artist/18f936f58d1c70678905db7e689db4f8/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/298133,Beautiful Tango (Unplugged),542788,265,indie
India.Arie,5252,75140,0,https://cdn-images.dzcdn.net/images/artist/182f57a7a7f42bd273de62788df3b700/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/5252,Brown Skin,393468,296,indie
SAIKO,3340,53987,470150,https://cdn-images.dzcdn.net/images/artist/3043a18022677b1fd95cb043d00bab63/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/3340,REINA,539293,211,urbano
Reggaeton,67760,45002,0,https://cdn-images.dzcdn.net/images/artist/70c2656d7fab6c1f3687fbcbe7bbb46a/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/67760,N/A,0,0,reggaeton
Reggaetones,1221442,43740,0,https://cdn-images.dzcdn.net/images/artist/b38d1c29b8cff42437c5ad78c9b964c5/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1221442,Como Toda Una Señora (Regueton Viejo),366536,203,reggaeton
